21:03:21 | INFO     | System          | === INICIO DE SESIÓN: session_20260126_210321 ===
21:03:21 | INFO     | System          | Log guardado en: /home/danielmf31/Documentos/PlatformIO/Projects/Proyecto_Demeter/Python/logs/sessions/session_20260126_210321.log
21:03:21 | INFO     | ProtocolEngine  | Iniciando Handshake (Enviando 101)...
21:03:21 | INFO     | ProtocolEngine  | Recibido 102 (ACK). Iniciando transmisión...
21:03:21 | INFO     | ProtocolEngine  | Transmitiendo 5 paquetes de datos...
21:03:21 | INFO     | ProtocolEngine  |   -> Enviado [0]: 1 1 1 1 1
21:03:21 | INFO     | ProtocolEngine  |   -> Enviado [1]: 1 1 1 1 1
21:03:21 | INFO     | ProtocolEngine  |   -> Enviado [2]: 1 1 1 1 1
21:03:21 | INFO     | ProtocolEngine  |   -> Enviado [3]: 1 1 1 1 1
21:03:21 | INFO     | ProtocolEngine  |   -> Enviado [4]: 1 1 1 1 1
21:03:21 | INFO     | ProtocolEngine  | Datos enviados. Esperando código 103 (Eco)...
21:03:21 | INFO     | ProtocolEngine  | Recibido 103 (Inicio de Eco). Esperando datos...
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [1, 1, 0, 1000, 0]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [1, 2, 0, 2000, 0]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [1, 3, 0, 3000, 0]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [1, 4, 0, 4000, 0]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [1, 5, 0, 5000, 0]
21:03:21 | INFO     | ProtocolEngine  | ✅ Verificación CORRECTA. Enviando 104.
21:03:21 | INFO     | ProtocolEngine  | Recibido 103 (Inicio de Eco). Esperando datos...
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [9, 9, 9, 9, 9]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [9, 9, 9, 9, 9]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [9, 9, 9, 9, 9]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [9, 9, 9, 9, 9]
21:03:21 | INFO     | ProtocolEngine  |   <- Eco recibido: [9, 9, 9, 9, 9]
21:03:21 | ERROR    | ProtocolEngine  | Mismatch en comando 0: Enviado [1, 1, 0, 1000, 0] != Recibido [9, 9, 9, 9, 9]
21:03:21 | ERROR    | ProtocolEngine  | ❌ Verificación FALLIDA. Enviando 105.
21:03:21 | INFO     | Demeter.UART    | Conectado exitosamente a /dev/test a 9600 baudios.
21:03:21 | ERROR    | Demeter.UART    | Error al conectar con /dev/serial0: Error
21:03:21 | DEBUG    | Demeter.UART    | TX >> 48454C4C4F0A | 'HELLO'
21:03:21 | DEBUG    | Demeter.UART    | RX << 524553504F4E5345200A
